ts	phase	decision	why	evidence	result
2026-08-30T10:08:34Z	frame	scoped the night to the six locally-provable units of the first vertical path	slices.md orders local workerd proof before paid deployment, and deploys are an always-pause action	.audit/overnight-vertical-path.md	six units queued, slices 3/5/6/7 excluded
2026-08-30T10:08:34Z	frame	captured the baseline before touching anything	so every later verify reads as old value vs new value	pnpm verify at 89a5805	green, 5 tests, 9.9s
2026-08-30T10:10:06Z	U1	dropped the content-addressed digest and mount key from U1	ADR-0027 is human-approved and forbids both; the arena note that proposed them is evidence, not a decision	docs/agents/adr/0027-use-labeled-commit-as-loader-identity.md	U1 rewritten, loader name derives from the labeled commit alone
2026-08-30T10:10:06Z	U1	kept validation as a local ok/problem union instead of pulling in better-result	the repo's own adoption skill gates that dependency on the user approving a named slice, and no approval exists	.agents/skills/adopt-better-result/SKILL.md	no new dependency tonight
2026-08-30T10:23:35Z	U1	landed the module-map artifact and routed the fixture facet through it	a generation is several modules, and the supervisor has to reject a malformed one before it mounts anything	commits 55e0dbb and the ADR commit, test/agent/loader.test.ts	VERIFIED, pnpm verify green, 10 tests
2026-08-30T10:23:35Z	U1	added two checks the delegate had missed	it proved loading through getEntrypoint only, so nothing showed a multi-module artifact mounting as a facet, and nothing covered ADR-0027's cached-name reuse	test/agent/loader.test.ts, two-module fixture in src/agent/loader.ts	both pass, reuse of a labeled commit returns its first code
2026-08-30T10:34:31Z	U2	landed supervisor-owned generation state in Durable Object SQLite	ADR-0003 gives the supervisor sole authority over it and every later unit reads it	commit 76d6231, src/supervisor/generations.ts	VERIFIED, pnpm verify green, 18 tests
2026-08-30T10:34:31Z	U2	parsed the harness commit at the RPC boundary instead of storing whatever string arrived	the delegate stored raw strings, so labelGeneration('main') would have created a generation	src/harness-commit.ts, test refuses-to-label-a-value-that-is-not-a-harness-commit	malformed commits now rejected, U1 parse shared by both callers
2026-08-30T10:34:31Z	U2	made a preparation outcome terminal per generation, rejecting a later contradicting check	the delegate silently no-opped it, which discards a real event on a labeled commit that ADR-0002 says must be recorded	generations.ts contradicts-recorded-outcome	OPEN, no ADR yet, U5's evidence ledger may derive status instead
2026-08-30T10:52:43Z	U3	landed the startup check as one bounded ordinary request and recorded it as ADR-0029	slices.md forbids turning the check into a permanent facet protocol, and the arena prototype had done exactly that	commit 09d3958, docs/agents/adr/0029-startup-check-is-an-ordinary-request.md	VERIFIED, pnpm verify green, 30 tests
2026-08-30T10:52:43Z	U3	raised the default deadline from 50ms to 5s and made the hanging test pass its own	50ms was tuned so the test suite stayed fast, and shipping it would have failed every real cold start	src/supervisor/startup-check.ts STARTUP_CHECK_DEADLINE_MS	default is now a plainly chosen bound, still unmeasured
2026-08-30T10:52:43Z	U3	deleted the heuristic that read workerd error text to tell a mount failure from a startup failure	it matched on the prefix 'Failed to start Worker:', so a runtime wording change would have silently misclassified failures	src/supervisor/startup-check.ts, parse-invalid test	anything failing before headers is now one stage carrying the runtime's own message
2026-08-30T10:52:43Z	U3	left the mount-failed stage in the union with no test covering it	it only fires if facets.get itself throws, which nothing local can trigger	src/supervisor/startup-check.ts mountCandidateFacet	OPEN, untested branch
2026-08-30T11:04:03Z	U4	landed checked, epoch-bound, journaled generation requests and recorded ADR-0030	ADR-0003 requires the supervisor to validate every request and perform or reject it alone	commit 41c02af, src/supervisor/control.ts	VERIFIED, pnpm verify green, 40 tests
2026-08-30T11:04:04Z	U4	kept the request transport and principal authentication out of scope	the platform limits how a facet can hold a capability and no local evidence picks a transport, so building one would settle an open question by implication	docs/agents/adr/0030, .audit/_arena-brief.md generation-control	OPEN, nothing authenticates a principal yet
2026-08-30T11:04:04Z	U4	did not make activation swap the facet serving traffic	that needs the supervisor to hold artifact bytes across a restart, and artifact storage is open under ADR-0027 and ADR-0028	src/supervisor/control.ts activate	OPEN, activation records state only
2026-08-30T11:23:25Z	U5	landed the relay fact ledger and derived known-good eligibility, recorded as ADR-0031	the design documents insist a status is not evidence a streamed turn completed, and nothing was observing that	commit 6641c5c, src/supervisor/relay.ts, src/supervisor/eligibility.ts	VERIFIED, pnpm verify green, 50 tests
2026-08-30T11:23:25Z	U5	stopped a refused preparation check from writing an evidence row	a rejected check left a passing row behind, which could have started a fresh evidence era for a generation whose status never moved	src/supervisor/generations.ts recordPreparationCheck, generations.test.ts history assertion	fixed before the unit landed
2026-08-30T11:23:25Z	U5	left caller cancellation proved only as a pending attempt, not as a propagated cancel	neither an aborted request nor a cancelled response body reached the facet through the Durable Object binding locally, which matches what the earlier paid probe saw	test relay leaves-a-local-caller-cancellation-pending	INCONCLUSIVE, needs a paid deployment
2026-08-30T11:23:25Z	U5	used a declared-length truncation to prove a 200 that fails mid-body	a genuine upstream stream error produced an unhandled workerd rejection that would have destabilised the suite	test relay records-a-body-failure-after-200-headers	property proved, by a narrower mechanism than a real stream error
