time	slice	decision	reason	evidence	result
10:21	S0	Hand-write git codec, drop @cloudflare/computer git client	writeTree/writeCommit bundled but never exported; commit() needs a working tree	unpacked tarball /tmp/cloudflare-computer-0.2.1	adopted as D1
10:21	S0	Real facet tests, not stubs	facets+worker loader run locally in workerd with no paid account	developers.cloudflare.com/dynamic-workers	adopted as D2
10:21	S0	Replay rescoped to executor-compatibility gate	replaying old-prompt tapes passes prompt-only candidates vacuously	sol review	adopted as D14, rewrote S6/S7
10:21	S0	Promotion consumes an attestation	CAS stops double-promote but not stale validation evidence (TOCTOU)	sol review	adopted as D16b
10:21	S0	Ratchet needs mandatory canaries	empty or all-failing corpus makes ratchet vacuously permit everything	sol review	adopted as D16a
10:21	S0	GC deferred	10GB/DO means no pressure; bad root discovery destroys rollback	sol review + DO limits	D13 rewritten, slice cut
10:21	S0	Facet isolation moved first	load-bearing claim; failing late invalidates everything above it	sol review	adopted as D2b, new slice S0.5
10:36	S1	Keep git-exact byte format	mutation test: padding mode to 040000 makes the git hash-object oracle fail	verified locally, restored after	oracle discriminates, S1 merged
10:36	S1	Codec rejects gpgsig/encoding commit headers	fixed domain types cannot represent them; we author every commit ourselves	agent report	accepted, noted as a limit on decoding foreign commits
10:38	S2	Conformance suite is the deliverable, not MemoryStore	S9 reruns it verbatim against DO SQLite; stops the two impls diverging	mutation test: yielding between compare and write gives 16 CAS winners, suite fails	merged
10:38	S3/S4	Brand via type predicate, not `as` assertion	no-unsafe-type-assertion; matches parseSha idiom already in git/types.ts	oxlint	adopted repo-wide
10:41	S0.5	All 5 facet isolation claims hold	storage separate, env empty, egress blocked, routes unreachable, reset survives load+init failure	7 tests vs real workerd	architecture de-risked, merged
10:41	S0.5	Split tsconfig: node-side vs workers-side	@cloudflare/workers-types globally replaces Node lib types; one program cannot host both	tsc errors on crypto and TextDecoder in src/git after merge	two configs, typecheck runs both
10:53	S3	Lineage cycle guard kept though untestable	content addressing makes a real cycle unconstructable (child sha embeds parent sha); guard defends a corrupted store	visited-set in lineage.ts and read.ts, no test	accepted, noted
10:55	S4	Rollback needs no attestation; promote does	rolling back to a previously-live known-good generation is a different risk profile; unable-to-recover-because-validation-unavailable is the worse failure	src/pointer, CAS via expected-pointer arg	accepted
10:55	S9	DO SQLite passes the unmodified conformance suite	single conditional UPDATE for CAS (no read-then-write window); transactionSync for schema+pointer init	8 conformance tests vs real workerd SQLite	merged, impls held to one definition
11:07	S7	Corpus and gate versions are content-derived hashes	a constant string nobody bumps makes the attestation binding meaningless	corpus hash covers case content, sessions, canary markings	merged
11:08	S11	Four-primitive action space is compiler-enforced	an agent that can add tools can add one that escapes; a comment would not stop it	mutation: adding a 5th union member fails typecheck at assertNever (TS2345 not assignable to never)	verified, merged
11:08	S11	edit requires exactly one exact match	silent no-op means the agent believes it rewrote its own policy when it did not; invisible for generations	no-match and ambiguous-match are distinct typed failures	merged
11:09	S5	Reset retry bounded at 16 attempts with a typed contended outcome	unbounded while(true) inside a DO wedges the request instead of failing it; the escape hatch would be unobservably stuck exactly when needed	review of merged S5 code, new test test/genesis/reset-bounded.test.ts	fixed post-merge
11:36	S10	Supervisor duplicated genesis seeding and reset	S10 worktree branched before S5 landed, so genesis.ts did not exist there	two escape-hatch impls; supervisor uses genesis_sha meta row and its own reset	reconciliation dispatched
11:37	S8	Vertical path composes with no failed seams	seed gen0, pinned turn, candidate, real gate, attested promote, rollback, reset all compose	6 integration tests, docs/integration-findings.md	merged
11:37	S8	No production agent loop yet maps generation modules to the replay loop and four tools	integration test supplies a scripted executor; real runtime is a genuine remaining gap	docs/integration-findings.md	open, documented
11:44	RECONCILE	Genesis unified on src/generation/genesis.ts	supervisor now seeds via seedGenesis and holds a real GenesisPin; meta row only persists which sha is genesis	resetToGenesisSync added so bounded CAS survives inside transactionSync; 140 tests green	merged
